Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=595000 | SOC=80.77 | V_est=3.516 | V_meas=3.672 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=605000 | SOC=80.78 | V_est=3.512 | V_meas=3.668 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=615000 | SOC=80.80 | V_est=3.512 | V_meas=3.668 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=625000 | SOC=80.81 | V_est=3.508 | V_meas=3.664 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=635000 | SOC=80.83 | V_est=3.508 | V_meas=3.664 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=645000 | SOC=80.84 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=655000 | SOC=80.86 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=665000 | SOC=80.88 | V_est=3.500 | V_meas=3.656 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=675000 | SOC=80.89 | V_est=3.500 | V_meas=3.656 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=685000 | SOC=80.91 | V_est=3.496 | V_meas=3.652 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=695000 | SOC=80.92 | V_est=3.496 | V_meas=3.652 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=705000 | SOC=80.94 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=715000 | SOC=80.95 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=725000 | SOC=80.97 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=735000 | SOC=80.98 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=745000 | SOC=81.00 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=755000 | SOC=81.02 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=765000 | SOC=81.03 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=775000 | SOC=81.05 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=785000 | SOC=81.06 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=795000 | SOC=81.08 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=805000 | SOC=81.09 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=815000 | SOC=81.11 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=825000 | SOC=81.12 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=835000 | SOC=81.14 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=845000 | SOC=81.16 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=855000 | SOC=81.17 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=865000 | SOC=81.19 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=875000 | SOC=81.20 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=885000 | SOC=81.22 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=895000 | SOC=81.23 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=905000 | SOC=81.25 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=915000 | SOC=81.27 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=925000 | SOC=81.28 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=935000 | SOC=81.30 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
